CabinType,AirlineName,TextBlob_Mean,Review_Count,TextBlob_Std,VADER_Mean,VADER_Std,Avg_Service_Rating,Recommendation_Rate
Business Class,ANA All Nippon Airways,0.2443,39,0.1437,0.7385,0.4816,4.641,92.3077
Business Class,Aegean Airlines,0.2697,47,0.1919,0.6771,0.5924,4.3404,76.5957
Business Class,Aer Lingus,0.1016,33,0.1731,0.0815,0.8374,3.4545,51.5152
Business Class,Aeroflot Russian Airlines,0.2611,29,0.1855,0.675,0.6326,4.3103,79.3103
Business Class,Aeromexico,0.0328,51,0.2001,-0.1356,0.7764,2.9216,35.2941
Business Class,Air Astana,0.2872,32,0.1727,0.7313,0.4185,4.75,90.625
Business Class,Air Berlin,0.2194,20,0.167,0.4623,0.7176,4.2,75.0
Business Class,Air Canada,0.143,144,0.1923,0.3262,0.7578,3.5764,56.9444
Business Class,Air Canada rouge,0.1735,13,0.1413,0.5954,0.6579,4.0,69.2308
Business Class,Air China,0.0751,49,0.1704,0.1374,0.8452,3.1224,51.0204
Business Class,Air Europa,0.1021,31,0.2594,-0.1019,0.8585,2.8387,35.4839
Business Class,Air France,0.1691,135,0.2002,0.3119,0.75,3.563,51.8519
Business Class,Air India,0.0894,61,0.2086,0.0562,0.8549,3.1803,39.3443
Business Class,Air New Zealand,0.2561,55,0.1839,0.6382,0.6036,4.3273,72.7273
Business Class,Air Serbia,0.2622,12,0.1723,0.6241,0.6622,4.4167,83.3333
Business Class,Air Transat,0.1754,15,0.1909,0.2733,0.7772,3.4,46.6667
Business Class,Alaska Airlines,0.0724,13,0.2426,-0.2233,0.8405,2.8462,38.4615
Business Class,Alitalia,0.2325,32,0.2108,0.5535,0.6941,3.875,71.875
Business Class,American Airlines,0.0836,166,0.1987,0.1427,0.8377,2.988,40.9639
Business Class,Asiana Airlines,0.1459,42,0.1917,0.4695,0.6821,4.119,76.1905
Business Class,Austrian Airlines,0.14,67,0.207,0.2253,0.7666,3.8209,61.194
Business Class,Avianca,0.036,47,0.22,-0.2616,0.7161,2.2553,23.4043
Business Class,Batik Air,0.108,11,0.169,0.2273,0.8001,3.9091,63.6364
Business Class,British Airways,0.0862,576,0.1774,0.1599,0.7829,3.2552,39.2361
Business Class,Brussels Airlines,0.1302,35,0.2201,0.2746,0.7859,3.2857,31.4286
Business Class,Cathay Pacific Airways,0.205,176,0.1844,0.496,0.7073,3.9716,72.1591
Business Class,China Airlines,0.2038,29,0.1935,0.6676,0.5566,4.069,82.7586
Business Class,China Eastern Airlines,0.1231,59,0.1935,0.2799,0.7847,3.2203,54.2373
Business Class,China Southern Airlines,0.2602,307,0.1538,0.7922,0.3988,4.798,95.7655
Business Class,Condor Airlines,0.0948,18,0.2209,-0.0237,0.7978,3.2222,27.7778
Business Class,Copa Airlines,0.0443,24,0.2141,0.0695,0.6937,2.7917,37.5
Business Class,Delta Air Lines,0.0793,91,0.2124,0.1108,0.8072,3.4066,45.0549
Business Class,EVA Air,0.3115,59,0.2076,0.7625,0.4957,4.7458,89.8305
Business Class,Egyptair,0.0496,32,0.2024,0.1591,0.8139,3.125,40.625
Business Class,El Al Israel Airlines,0.1696,22,0.1907,0.4863,0.636,3.8636,68.1818
Business Class,Emirates,0.183,277,0.1797,0.3602,0.7674,3.4368,59.9278
Business Class,Ethiopian Airlines,0.1747,43,0.1578,0.4116,0.6844,3.6279,67.4419
Business Class,Etihad Airways,0.0983,200,0.2321,0.1263,0.8024,3.055,43.5
Business Class,Fiji Airways,0.1768,12,0.2353,0.6384,0.5437,4.25,75.0
Business Class,Finnair,0.1393,109,0.197,0.3282,0.7773,3.7064,55.9633
Business Class,Garuda Indonesia,0.2437,115,0.2079,0.6903,0.5535,4.5826,88.6957
Business Class,Gulf Air,0.203,34,0.2286,0.5632,0.6976,3.6765,64.7059
Business Class,Hainan Airlines,0.2983,56,0.1519,0.8551,0.3207,4.8393,91.0714
Business Class,Iberia,0.1318,71,0.1869,0.2364,0.7675,3.3521,47.8873
Business Class,Icelandair,0.1885,32,0.1905,0.575,0.6145,3.9062,56.25
Business Class,Japan Airlines,0.1931,34,0.1882,0.5735,0.6656,4.2647,76.4706
Business Class,Jet Airways,0.0962,16,0.1747,0.2854,0.7766,3.6875,50.0
Business Class,Jetblue Airways,0.089,25,0.1917,-0.0826,0.7549,2.56,32.0
Business Class,Jetstar Airways,0.1426,29,0.1853,0.234,0.7944,3.6552,44.8276
Business Class,KLM Royal Dutch Airlines,0.1573,135,0.2234,0.4158,0.7571,3.8444,60.0
Business Class,Kenya Airways,0.1874,31,0.1479,0.4732,0.7018,3.6129,58.0645
Business Class,Korean Air,0.1939,41,0.2084,0.4779,0.6727,3.878,65.8537
Business Class,LATAM Airlines,0.1134,47,0.1878,0.0109,0.8002,3.1489,40.4255
Business Class,LOT Polish Airlines,0.0166,32,0.2564,-0.2166,0.8173,3.25,31.25
Business Class,Lufthansa,0.1379,260,0.1913,0.2902,0.7599,3.7962,56.5385
Business Class,Malaysia Airlines,0.1453,169,0.197,0.3581,0.7614,3.7515,63.3136
Business Class,Malindo Air,0.0586,22,0.1769,-0.0969,0.7468,3.5455,40.9091
Business Class,Norwegian,0.1268,13,0.1077,0.5164,0.663,3.7692,69.2308
Business Class,Oman Air,0.2396,44,0.2169,0.5957,0.6272,3.5682,75.0
Business Class,Philippine Airlines,0.1746,50,0.1944,0.2409,0.7709,3.64,48.0
Business Class,Qantas Airways,0.1662,189,0.1843,0.4107,0.7091,3.672,60.8466
Business Class,Qatar Airways,0.2472,449,0.1968,0.6212,0.5803,4.4499,82.8508
Business Class,Royal Jordanian Airlines,0.1171,23,0.182,0.0775,0.8871,2.8696,47.8261
Business Class,SAS Scandinavian,0.1132,70,0.2219,0.0823,0.8196,3.0,38.5714
Business Class,Saudi Arabian Airlines,0.1417,31,0.214,0.3136,0.7895,3.1613,54.8387
Business Class,Scoot,0.1629,30,0.1981,0.4423,0.7383,3.4667,43.3333
Business Class,Singapore Airlines,0.2048,170,0.1883,0.5337,0.6641,4.0471,71.7647
Business Class,South African Airways,0.1296,43,0.2116,0.3208,0.7992,3.6744,62.7907
Business Class,Southwest Airlines,0.0447,15,0.159,-0.2744,0.6581,2.2,20.0
Business Class,SriLankan Airlines,0.2087,74,0.1981,0.5595,0.6874,4.0946,78.3784
Business Class,Swiss Intl Air Lines,0.1557,118,0.1877,0.3984,0.7555,3.7797,64.4068
Business Class,TAP Portugal,0.1017,117,0.189,0.0937,0.8051,3.0427,36.7521
Business Class,Thai Airways,0.1346,102,0.1661,0.2778,0.7843,3.5392,58.8235
Business Class,Turkish Airlines,0.1279,278,0.2022,0.1956,0.8038,3.3921,50.3597
Business Class,Ukraine International,0.2371,11,0.2461,0.3109,0.8355,4.0,63.6364
Business Class,United Airlines,0.0857,174,0.2235,0.29,0.7847,3.023,40.8046
Business Class,Vietnam Airlines,0.1743,55,0.1463,0.4053,0.7152,3.8364,78.1818
Business Class,Virgin Atlantic,0.1562,46,0.1864,0.3888,0.712,3.7826,47.8261
Business Class,Virgin Australia,0.2211,70,0.1783,0.5299,0.6824,4.1143,74.2857
Business Class,Vistara,0.2252,16,0.2437,0.3553,0.7045,4.5,75.0
Economy Class,ANA All Nippon Airways,0.2587,137,0.1688,0.7368,0.478,4.4672,89.781
Economy Class,Aegean Airlines,0.2,278,0.2261,0.4392,0.6688,3.9856,68.705
Economy Class,Aer Lingus,0.0613,329,0.2073,-0.0299,0.7725,2.7416,34.3465
Economy Class,Aeroflot Russian Airlines,0.0922,196,0.1988,0.0867,0.7977,3.0204,48.9796
Economy Class,Aeromexico,0.0238,287,0.2186,-0.1877,0.7272,2.3868,25.4355
Economy Class,Air Astana,0.2214,59,0.247,0.5381,0.6257,3.9153,69.4915
Economy Class,Air Berlin,0.0612,111,0.1926,-0.0898,0.8086,2.7477,28.8288
Economy Class,Air Canada,0.0147,927,0.1877,-0.2194,0.7305,2.356,20.712
Economy Class,Air Canada rouge,0.0441,310,0.1992,-0.1168,0.7739,2.6839,21.6129
Economy Class,Air China,0.0108,310,0.1868,-0.1764,0.8002,2.4226,28.7097
Economy Class,Air Europa,-0.0191,173,0.209,-0.343,0.7389,2.0636,17.9191
Economy Class,Air France,0.0874,411,0.1997,0.0898,0.8025,3.1046,44.0389
Economy Class,Air India,0.0172,469,0.2439,-0.1629,0.7889,2.4584,31.5565
Economy Class,Air New Zealand,0.0803,245,0.1898,0.0092,0.7992,2.8082,33.8776
Economy Class,Air Serbia,0.0468,115,0.2368,-0.1009,0.7876,2.6696,27.8261
Economy Class,Air Transat,0.0343,227,0.1929,-0.1155,0.7651,2.8062,29.5154
Economy Class,AirAsia,0.0639,377,0.2141,-0.0247,0.7182,2.5199,38.992
Economy Class,AirAsia X,0.1454,68,0.1957,0.3253,0.6836,2.9853,63.2353
Economy Class,Alaska Airlines,0.0392,380,0.227,-0.0962,0.7647,2.3395,26.5789
Economy Class,Alitalia,0.0292,216,0.2301,-0.1609,0.7652,2.3981,33.3333
Economy Class,Allegiant Air,0.0084,934,0.2029,-0.3181,0.681,1.9111,13.5974
Economy Class,American Airlines,-0.0079,2764,0.165,-0.3311,0.6846,1.9884,9.7685
Economy Class,Asiana Airlines,0.2257,95,0.1746,0.6632,0.5088,4.0211,74.7368
Economy Class,Austrian Airlines,0.0642,219,0.2186,-0.0113,0.757,2.7671,35.6164
Economy Class,Avianca,-0.0131,255,0.1962,-0.339,0.6782,1.8314,16.0784
Economy Class,Bangkok Airways,0.1859,122,0.1746,0.4064,0.695,3.9672,71.3115
Economy Class,Batik Air,0.0602,58,0.209,0.0709,0.8119,2.6207,46.5517
Economy Class,Breeze Airways,0.0182,69,0.1821,-0.3015,0.6908,2.1449,14.4928
Economy Class,British Airways,0.0626,976,0.1645,0.0246,0.7761,2.8361,33.4016
Economy Class,Brussels Airlines,0.0486,172,0.1974,-0.1691,0.7618,2.5407,26.7442
Economy Class,CSA Czech Airlines,0.0264,77,0.2064,-0.2131,0.7511,2.4156,23.3766
Economy Class,Cathay Pacific Airways,0.1323,349,0.2038,0.3017,0.764,3.3467,56.7335
Economy Class,China Airlines,0.1395,109,0.2094,0.2522,0.7894,3.5872,57.7982
Economy Class,China Eastern Airlines,0.0297,178,0.1706,-0.2533,0.7835,2.4494,29.2135
Economy Class,China Southern Airlines,0.225,686,0.161,0.6861,0.5115,4.4738,88.484
Economy Class,Condor Airlines,-0.0272,132,0.2093,-0.3313,0.6935,2.3333,15.1515
Economy Class,Copa Airlines,0.0112,139,0.1911,-0.278,0.7226,2.1583,19.4245
Economy Class,Delta Air Lines,0.0335,1219,0.1983,-0.1232,0.7614,2.6153,26.087
Economy Class,EVA Air,0.2466,118,0.1978,0.5466,0.6632,3.8729,72.8814
Economy Class,Egyptair,0.0472,118,0.25,-0.1937,0.7877,2.3898,29.661
Economy Class,El Al Israel Airlines,0.0183,75,0.2392,-0.1507,0.757,2.3867,21.3333
Economy Class,Emirates,0.0973,810,0.2197,0.0813,0.7934,2.716,38.2716
Economy Class,Ethiopian Airlines,0.0577,197,0.209,-0.1132,0.8002,2.7107,32.4873
Economy Class,Etihad Airways,0.0202,597,0.1898,-0.1841,0.7676,2.3199,21.4405
Economy Class,Eurowings,0.0076,227,0.1819,-0.2823,0.7121,2.141,19.8238
Economy Class,Fiji Airways,0.1177,63,0.223,0.1745,0.7679,2.8889,39.6825
Economy Class,Finnair,0.0828,199,0.1813,0.0809,0.7832,2.9799,37.6884
Economy Class,Flair Airlines,0.0308,542,0.2183,-0.2427,0.715,1.9594,18.8192
Economy Class,FlySafair,0.0381,75,0.3028,-0.0492,0.8098,2.7733,44.0
Economy Class,Frontier Airlines,-0.0269,1769,0.1942,-0.3889,0.6406,1.6049,6.727
Economy Class,Garuda Indonesia,0.219,224,0.1882,0.5833,0.5649,4.183,78.5714
Economy Class,GoAir,-0.0844,113,0.2643,-0.4702,0.5845,1.3363,9.7345
Economy Class,Gulf Air,0.0569,112,0.2147,0.0316,0.7835,2.6696,41.9643
Economy Class,Hainan Airlines,0.3137,143,0.1917,0.7659,0.4798,4.5874,86.7133
Economy Class,Hawaiian Airlines,0.0309,146,0.1971,-0.1317,0.7554,2.5068,24.6575
Economy Class,Iberia,0.0129,235,0.1789,-0.2939,0.6998,2.0766,17.8723
Economy Class,Icelandair,0.0414,214,0.1569,-0.0856,0.7585,2.6916,25.7009
Economy Class,Japan Airlines,0.2329,111,0.1892,0.5542,0.6487,4.1802,75.6757
Economy Class,Jet Airways,0.0134,207,0.2159,-0.1246,0.769,2.5507,27.5362
Economy Class,Jetblue Airways,0.0216,768,0.2033,-0.2447,0.7409,2.2878,18.75
Economy Class,Jetstar Airways,0.0138,542,0.1959,-0.243,0.7013,2.0277,20.1107
Economy Class,KLM Royal Dutch Airlines,0.106,605,0.2061,0.1237,0.7971,3.1917,44.9587
Economy Class,Kenya Airways,0.0315,135,0.1814,-0.2259,0.7791,2.7259,31.1111
Economy Class,Korean Air,0.1997,122,0.2076,0.5186,0.6629,4.0,70.4918
Economy Class,Kuwait Airways,0.0424,95,0.2591,-0.1712,0.794,2.4421,31.5789
Economy Class,LATAM Airlines,0.0401,215,0.1933,-0.1987,0.7256,2.2233,17.6744
Economy Class,LOT Polish Airlines,0.0422,272,0.203,-0.1204,0.761,2.3346,28.6765
Economy Class,Lion Air,0.0047,91,0.2209,-0.2518,0.6884,2.1538,24.1758
Economy Class,Lufthansa,0.0819,751,0.2113,0.0552,0.7842,2.9374,41.012
Economy Class,Malaysia Airlines,0.0939,417,0.206,0.0706,0.7955,2.964,45.0839
Economy Class,Malindo Air,0.0311,180,0.2393,-0.088,0.7605,2.2667,32.2222
Economy Class,Norwegian,0.1015,522,0.1819,0.0757,0.7796,2.7395,39.4636
Economy Class,Oman Air,0.091,158,0.2557,0.1248,0.7586,2.6835,41.1392
Economy Class,Pegasus Airlines,0.0082,176,0.212,-0.3472,0.7213,2.0682,22.7273
Economy Class,Philippine Airlines,0.0958,281,0.2107,0.1513,0.7641,3.2206,42.7046
Economy Class,Porter Airlines,0.0328,132,0.1835,-0.1707,0.7179,2.5303,15.9091
Economy Class,Qantas Airways,0.0923,601,0.2043,0.154,0.7875,3.0549,45.4243
Economy Class,Qatar Airways,0.2312,736,0.2187,0.5397,0.6531,4.1427,72.6902
Economy Class,Royal Air Maroc,0.101,98,0.2282,-0.0422,0.8338,2.8367,39.7959
Economy Class,Royal Jordanian Airlines,-0.019,107,0.2529,-0.2783,0.7632,2.2243,28.0374
Economy Class,Ryanair,0.0487,1021,0.1995,-0.0442,0.7495,2.4633,33.7904
Economy Class,SAS Scandinavian,0.0588,268,0.196,-0.1059,0.7672,2.3993,27.6119
Economy Class,Saudi Arabian Airlines,0.0259,152,0.2517,-0.0997,0.7852,2.6382,38.1579
Economy Class,Scoot,0.0573,253,0.1946,-0.091,0.7524,2.3123,32.0158
Economy Class,Silver Airways,-0.0193,121,0.2067,-0.3988,0.6649,1.7025,13.2231
Economy Class,Singapore Airlines,0.1748,457,0.2224,0.452,0.6924,3.8206,67.8337
Economy Class,South African Airways,0.0905,73,0.1562,-0.0278,0.7596,2.6438,39.726
Economy Class,Southwest Airlines,0.0512,877,0.2044,-0.0809,0.7662,2.6511,28.2782
Economy Class,SpiceJet,0.0175,325,0.3061,-0.1099,0.7835,2.4954,32.3077
Economy Class,Spirit Airlines,-0.0137,2621,0.2019,-0.248,0.7041,1.7764,12.3617
Economy Class,SriLankan Airlines,0.0865,132,0.2687,0.0185,0.8078,2.6667,34.8485
Economy Class,Sun Country Airlines,0.0168,177,0.2054,-0.2036,0.722,2.226,18.6441
Economy Class,Sunwing Airlines,0.0391,193,0.2077,-0.2472,0.726,2.3212,17.0984
Economy Class,Swiss Intl Air Lines,0.0869,313,0.2287,0.0498,0.7872,3.1182,43.131
Economy Class,TAP Portugal,0.0239,543,0.1935,-0.2446,0.751,2.2486,20.0737
Economy Class,Thai Airways,0.1751,295,0.2141,0.3991,0.7312,3.5254,63.7288
Economy Class,Thai Smile Airways,0.214,138,0.2748,0.4582,0.6399,4.0725,68.1159
Economy Class,Thomas Cook Airlines,0.0758,149,0.1772,0.0568,0.7827,2.8121,36.2416
Economy Class,Transavia,0.061,128,0.204,-0.0957,0.7596,2.4453,34.375
Economy Class,Turkish Airlines,0.0551,982,0.2281,-0.1415,0.783,2.5336,30.1426
Economy Class,Ukraine International,0.0185,196,0.1984,-0.268,0.7635,2.2194,22.449
Economy Class,United Airlines,-0.0063,2041,0.197,-0.1247,0.7432,2.1685,14.5027
Economy Class,VietJet Air,0.0126,352,0.2294,-0.2575,0.72,2.0824,19.8864
Economy Class,Vietnam Airlines,0.08,175,0.207,0.1242,0.7778,2.84,49.7143
Economy Class,Virgin Atlantic,0.0836,159,0.2041,0.1911,0.792,3.1258,37.7358
Economy Class,Virgin Australia,0.0575,308,0.1884,0.0085,0.7751,2.7435,36.039
Economy Class,Vistara,0.2435,103,0.256,0.5283,0.6541,3.8447,72.8155
Economy Class,VivaAerobús,0.0006,82,0.2119,-0.2666,0.6615,1.4878,8.5366
Economy Class,Volaris,-0.0511,218,0.2002,-0.4718,0.6041,1.4174,7.3394
Economy Class,Volotea,0.1371,167,0.236,0.1946,0.7416,3.1437,53.8922
Economy Class,Vueling Airlines,-0.001,585,0.2133,-0.3689,0.6856,1.8752,17.4359
Economy Class,WOW air,0.0281,363,0.173,0.1316,0.7861,2.3251,21.4876
Economy Class,WestJet Airlines,0.0373,525,0.2028,-0.1393,0.7667,2.4133,21.7143
Economy Class,Wizz Air,-0.0173,414,0.2205,-0.3133,0.688,1.8019,15.2174
Economy Class,airBaltic,0.092,95,0.2252,-0.013,0.7656,2.6842,29.4737
Economy Class,easyJet,0.0648,657,0.1978,-0.0163,0.7613,2.8143,37.7473
Economy Class,flydubai,0.014,195,0.2473,-0.286,0.7396,2.2513,22.0513
